,names,DominantPollutant,aqi,PM10,dew,humidity,NO2,PM2,SO2,CO,O3,URL,Latitude,Longitude,datetime,ptu_id_1,ptu_id_2,ptu_id_3,ptu_id_4,ptu_id_5,ptu_id_6,label_1,label_2,label_3,label_4,label_5,label_6,ptu_ids,sample_values,ptu_labels
58,Guangzhou,pm25,46,23,0.0,77.0,10.1,46,4.1,7.7,11.8,https://api.waqi.info/feed/Guangzhou/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,23.141191,113.258374,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[7.7,10.1,11.8,23,46,4.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
59,Guarulhos,pm25,82,41,16.0,82.0,0.0,82,0.0,0.0,27.7,https://api.waqi.info/feed/Guarulhos/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,-23.455534258,-46.518533403,2020-04-21 19:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,27.7,41,82,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
60,Guiyang,pm25,63,30,0.0,87.0,4.6,63,3.6,3.7,76.7,https://api.waqi.info/feed/Guiyang/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,26.647661,106.630154,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[3.7,4.6,76.7,30,63,3.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
61,Gwangju,pm10,64,64,0.0,32.0,8.4,13,2.9,4.5,32.8,https://api.waqi.info/feed/Gwangju/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,35.1595454,126.8526012,2020-04-22 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[4.5,8.4,32.8,64,13,2.9]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
62,Haiphong,pm25,14,8,23.4,93.0,1.0,14,24.0,0.0,0.0,https://api.waqi.info/feed/Haiphong/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,21.0357507,106.7641068,2020-04-22 03:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,1.0,0.0,8,14,24.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
63,Hamburg,o3,30,8,1.0,53.0,2.3,17,1.6,0.1,29.7,https://api.waqi.info/feed/Hamburg/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,53.59235,10.053724,2020-04-21 23:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.1,2.3,29.7,8,17,1.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
64,Handan,pm25,124,52,0.0,36.1,17.4,124,2.6,0.1,14.7,https://api.waqi.info/feed/Handan/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,36.625604,114.539085,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.1,17.4,14.7,52,124,2.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
65,Hangzhou,pm25,85,36,0.0,93.0,19.2,85,6.1,5.5,9.0,https://api.waqi.info/feed/Hangzhou/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,30.274085,120.15507,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[5.5,19.2,9.0,36,85,6.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
66,HANOI,pm25,137,0,23.0,88.0,1.0,137,2.6,0.1,5.7,https://api.waqi.info/feed/HANOI/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,21.0215063,105.8188748,2020-04-22 05:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.1,1.0,5.7,0,137,2.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
67,Haora,pm25,60,25,20.0,90.1625,5.5,60,2.5,2.9,0.7,https://api.waqi.info/feed/Haora/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,22.5707053,88.3008448,2020-04-22 03:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[2.9,5.5,0.7,25,60,2.5]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
68,Harbin,o3,35,9,-2.0,86.0,2.3,21,4.1,5.5,35.4,https://api.waqi.info/feed/Harbin/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,45.7258,126.646,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[5.5,2.3,35.4,9,21,4.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
69,Hefei,pm25,97,62,0.0,87.0,30.7,97,10.2,5.5,4.1,https://api.waqi.info/feed/Hefei/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,31.821448,117.227271,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[5.5,30.7,4.1,62,97,10.2]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
70,Hiroshima,pm25,17,11,0.0,33.1,7.5,17,1.5,2.3,37.6,https://api.waqi.info/feed/Hiroshima/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,34.3852029,132.4552927,2020-04-22 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[2.3,7.5,37.6,11,17,1.5]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
71,Ho Chi Minh,pm25,55,0,25.0,88.0,0.0,55,0.0,0.0,0.0,https://api.waqi.info/feed/Ho%20Chi%20Minh/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,10.782978,106.700711,2020-04-22 05:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,55,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
72,Hong Kong,pm25,56,23,0.0,88.0,9.8,56,1.7,6.2,19.9,https://api.waqi.info/feed/Hong%20Kong/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,22.2796569,114.1719873,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[6.2,9.8,19.9,23,56,1.7]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
73,Houston,o3,43,0,16.0,45.0,18.4,29,0.0,2.3,43.2,https://api.waqi.info/feed/Houston/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,29.686389,-95.294722,2020-04-21 16:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[2.3,18.4,43.2,0,29,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
74,Hyderabad,pm25,68,0,17.0,38.0,0.0,68,0.0,0.0,0.0,https://api.waqi.info/feed/Hyderabad/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,17.38405,78.45636,2020-04-22 03:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,68,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
75,Hyderabad,pm25,68,0,17.0,38.0,0.0,68,0.0,0.0,0.0,https://api.waqi.info/feed/Hyderabad/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,17.38405,78.45636,2020-04-22 03:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,68,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
76,Incheon,pm10,84,84,0.0,46.0,12.1,21,5.8,5.6,23.3,https://api.waqi.info/feed/Incheon/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,37.4562557,126.7052062,2020-04-22 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[5.6,12.1,23.3,84,21,5.8]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
77,Indore,pm10,134,134,10.5,42.0,13.5,186,6.0,11.3,15.0,https://api.waqi.info/feed/Indore/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,22.719444,75.870278,2020-04-22 04:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[11.3,13.5,15.0,134,186,6.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
78,Istanbul,pm10,19,19,2.0,57.0,12.6,26,0.8,3.9,18.7,https://api.waqi.info/feed/Istanbul/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,41.0025,28.975278,2020-04-22 00:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[3.9,12.6,18.7,19,26,0.8]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
79,Izmir,pm10,30,30,9.0,71.0,2.8,0,3.4,0.0,0.0,https://api.waqi.info/feed/Izmir/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,38.432222,27.144444,2020-04-22 00:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,2.8,0.0,30,0,3.4]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
80,Jaipur,pm25,66,51,10.0,31.11,5.9,66,7.3,4.8,24.4,https://api.waqi.info/feed/Jaipur/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,26.9405166,75.8007016,2020-04-22 03:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[4.8,5.9,24.4,51,66,7.3]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
81,JAKARTA,pm25,180,66,24.0,94.0,0.0,180,0.0,0.0,0.0,https://api.waqi.info/feed/JAKARTA/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,-6.182536,106.834236,2020-04-22 05:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,66,180,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
82,Jeddah,pm10,17,17,17.0,64.0,3.0,0,2.0,4.0,17.0,https://api.waqi.info/feed/Jeddah/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,21.524667,39.203088,2020-04-21 00:50:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[4.0,3.0,17.0,17,0,2.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
83,Jilin,pm25,46,20,0.0,80.0,5.5,46,4.6,7.3,26.0,https://api.waqi.info/feed/Jilin/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,43.837883,126.549572,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[7.3,5.5,26.0,20,46,4.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
84,Jinan,pm10,54,54,0.0,32.0,14.2,46,7.1,0.1,72.1,https://api.waqi.info/feed/Jinan/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,36.650997,117.120497,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.1,14.2,72.1,54,46,7.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
85,Johannesburg,pm25,61,25,0.0,57.8,5.5,61,8.7,9.6,0.0,https://api.waqi.info/feed/Johannesburg/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,-26.178666,28.13314,2020-04-22 00:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[9.6,5.5,0.0,25,61,8.7]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
86,KABUL,pm25,149,0,6.0,76.0,0.0,149,0.0,0.0,0.0,https://api.waqi.info/feed/KABUL/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,34.554382,69.2046,2020-04-22 02:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,149,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
87,Kanpur,pm25,107,0,18.0,64.0,5.8,107,7.7,0.0,19.0,https://api.waqi.info/feed/Kanpur/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,26.4703088,80.3251749,2020-04-22 04:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,5.8,19.0,0,107,7.7]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
88,Kaohsiung,pm25,95,48,0.0,83.0,11.9,95,5.8,7.3,19.2,https://api.waqi.info/feed/Kaohsiung/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,22.608711,120.312017,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[7.3,11.9,19.2,48,95,5.8]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
89,Karachi,pm25,66,0,20.0,46.0,0.0,66,0.0,0.0,0.0,https://api.waqi.info/feed/Karachi/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,24.8415,67.0091,2020-04-21 16:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,66,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
90,Kawasaki,pm25,34,15,0.0,76.0,11.2,34,1.5,4.5,21.6,https://api.waqi.info/feed/Kawasaki/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,35.5309058,139.7030511,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[4.5,11.2,21.6,15,34,1.5]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
91,KIEV,pm25,10,5,0.0,95.6,0.0,10,0.0,0.0,0.0,https://api.waqi.info/feed/KIEV/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,50.444,30.54,2020-04-22 02:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,5,10,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
92,Kitakyushu,,-,6,0.0,48.0,3.8,17,1.5,1.2,36.1,https://api.waqi.info/feed/Kitakyushu/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,33.8834093,130.8752161,2020-04-21 20:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[1.2,3.8,36.1,6,17,1.5]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
93,Kobe,pm25,42,8,0.0,41.1,1.9,42,1.5,2.3,37.6,https://api.waqi.info/feed/Kobe/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,34.690083,135.1955112,2020-04-22 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[2.3,1.9,37.6,8,42,1.5]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
94,Kolkata,pm25,50,0,20.5,97.0,0.0,50,0.0,0.0,0.0,https://api.waqi.info/feed/Kolkata/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,22.56263,88.36304,2020-04-22 03:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,50,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
95,Kowloon,pm25,56,23,0.0,88.0,9.8,56,1.7,6.2,19.9,https://api.waqi.info/feed/Kowloon/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,22.396428,114.109497,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[6.2,9.8,19.9,23,56,1.7]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
96,KUALA LUMPUR,,55,0,0.0,94.0,0.0,0,0.0,0.0,0.0,https://api.waqi.info/feed/KUALA%20LUMPUR/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,3.139003,101.686855,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,0,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
97,Kunming,pm25,112,50,0.0,63.0,8.3,112,3.1,6.4,39.4,https://api.waqi.info/feed/Kunming/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,24.880182,102.832861,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[6.4,8.3,39.4,50,112,3.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
98,Kyoto,pm25,30,14,0.0,56.3,1.9,30,4.3,2.3,32.8,https://api.waqi.info/feed/Kyoto/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,35.0116363,135.7680294,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[2.3,1.9,32.8,14,30,4.3]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
99,Lahore,pm25,336,0,16.0,73.0,0.0,336,0.0,0.0,0.0,https://api.waqi.info/feed/Lahore/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,31.560078,74.33589,2020-04-22 03:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,336,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
100,Lanzhou,pm25,85,65,0.0,54.0,26.6,85,4.1,7.3,2.9,https://api.waqi.info/feed/Lanzhou/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,36.061255,103.834377,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[7.3,26.6,2.9,65,85,4.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
101,Leon,o3,33,10,0.0,0.0,4.2,0,0.6,0.1,32.9,https://api.waqi.info/feed/Leon/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,42.603888888889,-5.587222222222,2020-04-21 21:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.1,4.2,32.9,10,0,0.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
102,LIMA,pm25,40,16,16.5,66.8,21.5,40,0.0,0.5,26.0,https://api.waqi.info/feed/LIMA/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,-12.07053,-77.04317,2020-04-21 17:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.5,21.5,26.0,16,40,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
103,LONDON,pm25,51,38,0.0,70.6,12.3,51,7.6,3.3,30.9,https://api.waqi.info/feed/LONDON/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,51.5073509,-0.1277583,2020-04-21 22:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[3.3,12.3,30.9,38,51,7.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
104,Los Angeles,o3,31,19,0.0,55.6,4.7,25,0.0,2.5,31.2,https://api.waqi.info/feed/Los%20Angeles/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,34.06653,-118.22676,2020-04-21 14:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[2.5,4.7,31.2,19,25,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
105,Lucknow,pm25,151,0,18.0,66.74249999999999,7.7,151,3.1,10.1,2.9,https://api.waqi.info/feed/Lucknow/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,26.84578611,80.93874444,2020-04-22 03:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[10.1,7.7,2.9,0,151,3.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
106,Ludhiana,pm25,42,25,10.3,77.5575,7.5,42,5.7,5.0,5.6,https://api.waqi.info/feed/Ludhiana/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,30.9019147,75.8077749,2020-04-22 03:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[5.0,7.5,5.6,25,42,5.7]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
107,Luoyang,pm25,112,76,0.0,47.9,22.9,112,8.2,7.3,20.4,https://api.waqi.info/feed/Luoyang/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,34.618452,112.45429,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[7.3,22.9,20.4,76,112,8.2]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
108,MADRID,pm25,9,3,0.0,65.0,2.3,9,2.1,0.1,30.9,https://api.waqi.info/feed/MADRID/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,40.4167754,-3.7037902,2020-04-22 00:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.1,2.3,30.9,3,9,2.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
109,MANILA,,-,0,0.0,48.0,0.0,0,0.0,0.0,0.0,https://api.waqi.info/feed/MANILA/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,14.5995124,120.9842195,,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,0,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
110,Mashhad,pm25,82,28,10.0,72.0,0.0,82,0.0,32.0,0.0,https://api.waqi.info/feed/Mashhad/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,36.3382,59.5853,2020-04-22 02:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[32.0,0.0,0.0,28,82,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
111,Mecca,pm10,79,79,9.0,52.0,1.0,0,2.0,13.0,31.0,https://api.waqi.info/feed/Mecca/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,21.42463611,39.82916667,2020-04-21 00:50:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[13.0,1.0,31.0,79,0,2.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
112,Medan,pm10,26,26,27.0,84.0,0.0,0,0.0,0.0,0.0,https://api.waqi.info/feed/Medan/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,3.5951956,98.6722227,2020-04-02 16:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,26,0,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
113,Medellin,pm25,70,32,0.0,87.5,0.0,70,0.0,0.0,0.0,https://api.waqi.info/feed/Medellin/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,6.252763,-75.569404,2020-04-21 17:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,32,70,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
114,Medina,pm10,22,22,0.0,0.0,26.0,0,3.0,7.0,86.0,https://api.waqi.info/feed/Medina/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,24.491075,39.58805556,2019-08-27 09:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[7.0,26.0,86.0,22,0,3.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
115,Meerut,pm25,173,115,12.0,51.0,20.0,173,13.6,27.2,2.0,https://api.waqi.info/feed/Meerut/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,29.06351,77.709723,2020-04-22 04:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[27.2,20.0,2.0,115,173,13.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
116,Melbourne,pm25,9,11,9.4,70.1,3.8,9,1.1,0.7,14.5,https://api.waqi.info/feed/Melbourne/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,-37.8073959,144.97,2020-04-22 08:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.7,3.8,14.5,11,9,1.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
